distance_ft,aerial_vf2f,aerial_f2m,aerial_m2c,aerial_c2vc,ground_low_vf,ground_low_fmc,ground_high_vf,ground_high_fmc,airblast_normal,airblast_dense,airblast_sparse,airblast_vineyard,airblast_orchard
0,0.50013,0.49997,0.4999,0.49988,1.019339,1.007885,1.055205,1.012828,8.91E-03,0.1155276,0.4762651,3.76E-02,0.2223051
0.102525,,,,,0.9563344,0.791181,1.031179,0.8651651,8.82E-03,0.1146911,0.4721738,3.70E-02,0.2203779
0.20505,,,,,0.8995457,0.6463537,1.008014,0.7523841,8.73E-03,0.1138636,0.4681299,3.64E-02,0.2184745
0.4101,,,,,0.8014717,0.4668763,0.9641023,0.5924242,8.55E-03,0.1122354,0.4601823,3.53E-02,0.214738
0.8202,,,,,0.6515037,0.2926181,0.8849454,0.4089229,8.22E-03,0.1090821,0.4448291,3.32E-02,0.2075354
1.6404,,,,,0.4621718,0.161585,0.7547942,0.2457327,7.61E-03,0.1031627,0.4161489,2.95E-02,0.1941357
3.2808,,,,,0.27784,8.23E-02,0.5717199,0.1325945,6.62E-03,0.0926877,0.365902,2.38E-02,0.1708277
4.9212,,,,,0.1917688,0.0547733,0.4515365,9.00E-02,5.84E-03,8.37E-02,0.3235644,0.0196084,0.1513466
6.5616,0.44385,0.37451,0.34808,0.32498,0.1436966,4.11E-02,0.3681526,6.82E-02,5.22E-03,7.60E-02,0.2876267,1.65E-02,0.1349155
9.8424,,,,,9.35E-02,2.78E-02,0.2625245,4.64E-02,4.28E-03,6.35E-02,0.2305019,1.21E-02,0.1089698
13.1232,0.40483,0.29849,0.25638,0.22961,6.84E-02,2.14E-02,0.2001684,0.0356329,3.61E-03,5.39E-02,0.187791,9.33E-03,8.97E-02
19.6848,0.37772,0.25004,0.20046,0.17182,4.43E-02,1.51E-02,0.1323332,2.50E-02,2.73E-03,4.03E-02,0.1298433,6.09E-03,6.35E-02
26.2464,0.35714,0.2138,0.16262,0.13469,3.29E-02,1.20E-02,9.74E-02,1.98E-02,2.18E-03,3.13E-02,9.38E-02,4.34E-03,4.72E-02
32.808,0.34124,0.19455,0.13789,0.10902,2.63E-02,1.01E-02,7.68E-02,1.65E-02,0.0018118,2.51E-02,7.02E-02,3.29E-03,3.64E-02
39.3696,0.32594,0.18448,0.12373,0.089414,2.20E-02,8.77E-03,6.35E-02,1.43E-02,1.54E-03,2.06E-02,5.40E-02,2.60E-03,2.89E-02
45.9312,0.31045,0.17591,0.11517,0.07786,1.91E-02,7.82E-03,5.42E-02,1.27E-02,1.34E-03,1.73E-02,4.25E-02,2.13E-03,2.35E-02
52.4928,0.29537,0.1678,0.10809,0.071394,1.68E-02,7.09E-03,4.74E-02,1.15E-02,1.18E-03,1.48E-02,3.41E-02,1.78E-03,1.95E-02
59.0544,0.28281,0.15421,0.10351,0.066799,0.015135,6.50E-03,4.21E-02,1.05E-02,1.06E-03,1.28E-02,2.79E-02,1.53E-03,1.64E-02
65.616,0.27393,0.1401,0.094634,0.06141,1.38E-02,0.0060219,3.79E-02,9.65E-03,9.54E-04,1.12E-02,2.31E-02,1.33E-03,1.40E-02
72.1776,0.26665,0.12693,0.083857,0.054156,1.26E-02,5.62E-03,3.44E-02,8.98E-03,8.68E-04,9.89E-03,1.94E-02,1.17E-03,1.22E-02
78.7392,0.25825,0.11785,0.072962,0.047065,1.17E-02,5.28E-03,3.15E-02,8.40E-03,7.96E-04,8.84E-03,1.64E-02,1.04E-03,1.06E-02
85.3008,0.24764,0.11144,0.065486,0.042592,1.09E-02,4.98E-03,2.91E-02,7.89E-03,7.34E-04,7.96E-03,1.41E-02,9.38E-04,9.42E-03
91.8624,0.23653,0.10675,0.061581,0.039386,1.02E-02,4.72E-03,2.70E-02,7.46E-03,6.80E-04,7.22E-03,1.22E-02,8.51E-04,8.40E-03
98.424,0.22595,0.099496,0.058153,0.036851,9.61E-03,4.49E-03,2.52E-02,7.07E-03,6.33E-04,6.59E-03,1.06E-02,7.77E-04,7.55E-03
104.9856,0.21636,0.092323,0.054054,0.034875,9.08E-03,4.28E-03,0.0236287,6.72E-03,5.92E-04,6.05E-03,9.29E-03,7.14E-04,6.83E-03
111.5472,0.20812,0.085695,0.048766,0.032405,8.61E-03,4.09E-03,2.22E-02,6.41E-03,5.56E-04,5.59E-03,8.20E-03,6.59E-04,6.22E-03
118.1088,0.20142,0.079234,0.045527,0.029673,8.19E-03,3.93E-03,2.10E-02,6.13E-03,5.23E-04,5.18E-03,7.29E-03,6.12E-04,5.70E-03
124.6704,0.19589,0.074253,0.042936,0.027475,7.81E-03,3.77E-03,1.98E-02,5.87E-03,4.94E-04,4.83E-03,6.50E-03,5.70E-04,5.24E-03
131.232,0.19082,0.070316,0.039942,0.025494,7.46E-03,3.63E-03,1.88E-02,5.64E-03,4.67E-04,4.51E-03,5.83E-03,5.33E-04,4.85E-03
137.7936,0.18573,0.067191,0.037623,0.023811,7.14E-03,3.50E-03,1.79E-02,5.42E-03,4.43E-04,4.24E-03,5.26E-03,5.00E-04,4.50E-03
144.3552,0.18058,0.064594,0.035782,0.022553,6.86E-03,3.38E-03,1.70E-02,5.22E-03,4.21E-04,3.99E-03,4.76E-03,4.70E-04,4.20E-03
150.9168,0.17474,0.062337,0.034287,0.021431,6.59E-03,3.27E-03,1.63E-02,5.04E-03,4.01E-04,3.77E-03,4.32E-03,4.44E-04,3.93E-03
157.4784,0.16776,0.060348,0.033115,0.020361,6.34E-03,3.17E-03,1.55E-02,4.86E-03,3.83E-04,3.57E-03,3.94E-03,4.20E-04,3.69E-03
164.04,0.16101,0.058192,0.031638,0.019342,6.12E-03,3.07E-03,1.49E-02,4.70E-03,3.66E-04,3.39E-03,3.60E-03,3.98E-04,3.47E-03
170.6016,0.15545,0.055224,0.030105,0.018386,5.90E-03,2.98E-03,1.43E-02,4.55E-03,3.51E-04,3.22E-03,3.31E-03,3.78E-04,3.28E-03
177.1632,0.1513,0.051972,0.028577,0.017463,5.71E-03,2.89E-03,1.37E-02,4.41E-03,3.36E-04,3.07E-03,3.04E-03,3.60E-04,3.10E-03
183.7248,0.14767,0.049283,0.027241,0.016616,5.52E-03,2.81E-03,1.32E-02,4.28E-03,3.23E-04,2.94E-03,2.81E-03,3.43E-04,2.94E-03
190.2864,0.14453,0.04757,0.02607,0.015799,5.35E-03,2.74E-03,1.27E-02,4.16E-03,3.10E-04,2.81E-03,2.60E-03,3.27E-04,2.80E-03
196.848,0.14167,0.046226,0.024997,0.015067,5.19E-03,2.67E-03,0.0122122,4.04E-03,2.99E-04,2.70E-03,2.41E-03,3.13E-04,2.67E-03
203.4096,0.1385,0.044969,0.023992,0.014399,5.03E-03,2.60E-03,0.011778,3.93E-03,2.88E-04,2.59E-03,2.24E-03,3.00E-04,2.55E-03
209.9712,0.13478,0.043922,0.023084,0.013779,4.89E-03,2.54E-03,1.14E-02,3.82E-03,2.77E-04,2.49E-03,2.08E-03,2.88E-04,2.44E-03
216.5328,0.13044,0.043027,0.022234,0.013196,4.75E-03,2.48E-03,1.10E-02,3.72E-03,2.68E-04,2.40E-03,1.94E-03,2.76E-04,2.33E-03
223.0944,0.12643,0.041934,0.021347,0.012657,4.62E-03,2.42E-03,1.06E-02,3.63E-03,2.59E-04,2.32E-03,1.82E-03,2.65E-04,2.24E-03
229.656,0.12301,0.040528,0.020538,0.012171,4.50E-03,2.36E-03,1.03E-02,3.54E-03,2.50E-04,2.24E-03,1.70E-03,2.55E-04,2.15E-03
236.2176,0.12035,0.039018,0.019795,0.011729,4.38E-03,2.31E-03,9.96E-03,3.45E-03,2.42E-04,2.16E-03,1.60E-03,2.46E-04,2.07E-03
242.7792,0.11811,0.037744,0.019115,0.011329,4.27E-03,2.26E-03,9.65E-03,3.37E-03,2.35E-04,2.10E-03,1.50E-03,2.37E-04,2.00E-03
249.3408,0.11608,0.036762,0.018479,0.010967,4.17E-03,2.21E-03,9.36E-03,3.29E-03,2.27E-04,2.03E-03,1.41E-03,2.29E-04,1.92E-03
255.9024,0.1143,0.035923,0.017878,0.010627,4.07E-03,2.16E-03,9.08E-03,3.21E-03,2.21E-04,1.97E-03,1.33E-03,2.21E-04,1.86E-03
262.464,0.11254,0.035071,0.017307,0.010306,3.97E-03,2.12E-03,8.82E-03,3.14E-03,2.14E-04,1.91E-03,1.26E-03,2.13E-04,1.80E-03
269.0256,0.1107,0.034267,0.016764,0.010001,3.88E-03,2.08E-03,8.57E-03,3.07E-03,2.08E-04,1.86E-03,1.19E-03,2.06E-04,1.74E-03
275.5872,0.10821,0.033456,0.016253,0.0097111,3.79E-03,2.04E-03,8.33E-03,3.00E-03,2.02E-04,1.81E-03,1.12E-03,2.00E-04,1.69E-03
282.1488,0.10549,0.032629,0.015771,0.0094351,3.71E-03,2.00E-03,8.10E-03,2.94E-03,1.96E-04,1.76E-03,1.06E-03,1.94E-04,1.63E-03
288.7104,0.1031,0.03184,0.015323,0.0091754,3.63E-03,1.96E-03,7.88E-03,2.88E-03,1.91E-04,1.72E-03,1.01E-03,1.88E-04,1.59E-03
295.272,0.10115,0.031078,0.014902,0.0089387,3.55E-03,1.92E-03,7.67E-03,2.82E-03,1.86E-04,1.67E-03,9.57E-04,1.82E-04,1.54E-03
301.8336,0.099669,0.030363,0.014507,0.0087233,3.47E-03,1.89E-03,7.47E-03,2.76E-03,1.81E-04,1.63E-03,9.10E-04,1.77E-04,1.50E-03
308.3952,0.098413,0.02968,0.014138,0.0085266,3.40E-03,1.86E-03,7.28E-03,2.71E-03,1.77E-04,1.59E-03,8.66E-04,1.71E-04,1.46E-03
314.9568,0.097202,0.029028,0.013794,0.0083455,3.33E-03,1.82E-03,7.09E-03,2.66E-03,1.72E-04,1.56E-03,8.25E-04,1.67E-04,1.42E-03
321.5184,0.095761,0.028399,0.013471,0.0081763,3.27E-03,1.79E-03,6.92E-03,2.61E-03,1.68E-04,1.52E-03,7.86E-04,1.62E-04,1.38E-03
328.08,0.094247,0.027788,0.01316,0.0080136,3.20E-03,1.76E-03,6.75E-03,2.56E-03,1.64E-04,1.49E-03,7.50E-04,1.57E-04,1.35E-03
334.6416,0.092414,0.027199,0.012861,0.0078529,3.14E-03,1.73E-03,6.59E-03,2.51E-03,1.60E-04,1.45E-03,7.16E-04,1.53E-04,1.31E-03
341.2032,0.090542,0.026642,0.012576,0.0076946,3.08E-03,1.70E-03,6.43E-03,2.46E-03,1.56E-04,1.42E-03,6.85E-04,1.49E-04,1.28E-03
347.7648,0.089067,0.026124,0.012308,0.0075409,3.03E-03,1.68E-03,6.28E-03,2.42E-03,1.53E-04,1.39E-03,6.55E-04,1.45E-04,1.25E-03
354.3264,0.087694,0.025635,0.012055,0.0073961,2.97E-03,1.65E-03,6.13E-03,2.38E-03,1.49E-04,1.37E-03,6.27E-04,1.42E-04,1.22E-03
360.888,0.086554,0.02517,0.011813,0.0072597,2.92E-03,1.62E-03,5.99E-03,2.33E-03,1.46E-04,1.34E-03,6.01E-04,1.38E-04,1.20E-03
367.4496,0.085431,0.024719,0.011583,0.0071317,2.87E-03,1.60E-03,5.86E-03,2.29E-03,1.43E-04,1.31E-03,5.76E-04,1.35E-04,1.17E-03
374.0112,0.084331,0.024287,0.011363,0.0070107,2.82E-03,1.57E-03,5.73E-03,0.0022552,1.40E-04,1.29E-03,5.53E-04,1.31E-04,1.14E-03
380.5728,0.083049,0.023867,0.011152,0.0068953,2.77E-03,1.55E-03,5.60E-03,2.22E-03,1.37E-04,1.26E-03,5.30E-04,1.28E-04,1.12E-03
387.1344,0.08193,0.023457,0.010947,0.0067828,2.72E-03,1.53E-03,5.48E-03,2.18E-03,1.34E-04,1.24E-03,5.10E-04,1.25E-04,1.10E-03
393.696,0.080792,0.023061,0.01075,0.0066702,2.67E-03,1.50E-03,5.37E-03,2.14E-03,1.31E-04,1.22E-03,4.90E-04,1.22E-04,1.07E-03
400.2576,0.079559,0.022685,0.010562,0.0065577,2.63E-03,1.48E-03,5.25E-03,2.11E-03,1.28E-04,1.20E-03,4.71E-04,1.19E-04,1.05E-03
406.8192,0.078605,0.022334,0.010387,0.0064463,2.59E-03,1.46E-03,5.14E-03,2.08E-03,1.26E-04,1.18E-03,4.53E-04,1.17E-04,1.03E-03
413.3808,0.077465,0.021998,0.010221,0.0063396,2.55E-03,1.44E-03,5.04E-03,2.04E-03,1.23E-04,1.16E-03,4.37E-04,1.14E-04,1.01E-03
419.9424,0.076539,0.021675,0.010061,0.0062381,2.50E-03,1.42E-03,4.94E-03,2.01E-03,1.21E-04,1.14E-03,4.21E-04,1.12E-04,9.93E-04
426.504,0.075683,0.02136,0.009908,0.0061425,2.47E-03,1.40E-03,4.84E-03,1.98E-03,1.19E-04,1.12E-03,4.06E-04,1.09E-04,9.75E-04
433.0656,0.074851,0.021055,0.0097629,0.0060526,2.43E-03,1.38E-03,4.74E-03,1.95E-03,1.16E-04,1.10E-03,3.91E-04,1.07E-04,9.57E-04
439.6272,0.073892,0.020758,0.0096243,0.0059665,2.39E-03,1.36E-03,4.65E-03,1.92E-03,1.14E-04,1.08E-03,3.78E-04,1.05E-04,9.40E-04
446.1888,0.07302,0.020467,0.0094874,0.0058818,2.35E-03,1.35E-03,4.56E-03,1.89E-03,1.12E-04,1.07E-03,3.65E-04,1.02E-04,9.23E-04
452.7504,0.07216,0.020186,0.0093522,0.0057966,2.32E-03,1.33E-03,4.47E-03,1.86E-03,1.10E-04,1.05E-03,3.52E-04,1.00E-04,9.07E-04
459.312,0.071201,0.019919,0.0092212,0.005712,2.28E-03,1.31E-03,4.39E-03,1.84E-03,1.08E-04,1.03E-03,3.40E-04,9.83E-05,8.91E-04
465.8736,0.07049,0.019665,0.0090983,0.0056282,2.25E-03,1.29E-03,4.30E-03,1.81E-03,1.06E-04,1.02E-03,3.29E-04,9.63E-05,8.76E-04
472.4352,0.069589,0.019421,0.0089835,0.0055474,2.22E-03,1.28E-03,4.22E-03,1.79E-03,1.04E-04,1.00E-03,3.18E-04,9.44E-05,8.62E-04
